date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:14:58	54844/54844	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2028%20Mar%202025%2004:14:58%20GMT	https://sfl.world/	C:/Users/jovyl/fore/tests/WinHTTrack/SFL_World_Clone/sfl.world/index.html	(from )
12:15:00	15/15	U-----	200	untouched ('OK')	text/plain	etag:W/%22f-18a8bd25520%22	https://sfl.world/robots.txt		(from )
12:15:00	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2028%20Mar%202025%2004:15:00%20GMT	http://sfl.world/favicon.png	C:/Users/jovyl/fore/tests/WinHTTrack/SFL_World_Clone/sfl.world/favicon.0.delayed	(from https://sfl.world/)
12:15:00	256/256	---M--	200	added ('OK')	image/png	etag:W/%22100-18a4f8273c0%22	https://sfl.world/favicon.png	C:/Users/jovyl/fore/tests/WinHTTrack/SFL_World_Clone/sfl.world/favicon.png	(from https://sfl.world/)
12:15:00	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2028%20Mar%202025%2004:15:00%20GMT	http://sfl.world/css/bootstrap.min.css	C:/Users/jovyl/fore/tests/WinHTTrack/SFL_World_Clone/sfl.world/css/bootstrap.min.css	(from https://sfl.world/)
12:15:01	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2028%20Mar%202025%2004:15:01%20GMT	http://sfl.world/tablesorter-master/dist/css/theme.ice.min.css	C:/Users/jovyl/fore/tests/WinHTTrack/SFL_World_Clone/sfl.world/tablesorter-master/dist/css/theme.ice.min.css	(from https://sfl.world/)
12:15:01	232803/232803	---MCZ	200	added ('OK')	text/css	etag:W/%2238d63-18f37457d20%22	https://sfl.world/css/bootstrap.min.css	C:/Users/jovyl/fore/tests/WinHTTrack/SFL_World_Clone/sfl.world/css/bootstrap.min.css	(from https://sfl.world/)
12:15:01	5433/5433	---MCZ	200	added ('OK')	text/css	etag:W/%221539-1886d1a6f48%22	https://sfl.world/tablesorter-master/dist/css/theme.ice.min.css	C:/Users/jovyl/fore/tests/WinHTTrack/SFL_World_Clone/sfl.world/tablesorter-master/dist/css/theme.ice.min.css	(from https://sfl.world/)
12:15:01	98255/98255	U-----	200	untouched ('OK')	text/css	etag:W/%2217fcf-nuSWzJuqrli5jn/B60bjV42vgUM%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.11.3/font/bootstrap-icons.css	C:/Users/jovyl/fore/tests/WinHTTrack/SFL_World_Clone/cdn.jsdelivr.net/npm/bootstrap-icons@1.11.3/font/bootstrap-icons.css	(from https://sfl.world/)
12:15:02	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2028%20Mar%202025%2004:15:01%20GMT	http://sfl.world/css/app.css?1743105668308	C:/Users/jovyl/fore/tests/WinHTTrack/SFL_World_Clone/sfl.world/css/app2de9.css	(from https://sfl.world/)
12:15:02	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2028%20Mar%202025%2004:15:02%20GMT	http://sfl.world/js/bootstrap.bundle.min.js	C:/Users/jovyl/fore/tests/WinHTTrack/SFL_World_Clone/sfl.world/js/bootstrap.bundle.min.js	(from https://sfl.world/)
12:15:02	15478/15478	---MCZ	200	added ('OK')	text/css	etag:W/%223c76-1950c3fa708%22	https://sfl.world/css/app.css?1743105668308	C:/Users/jovyl/fore/tests/WinHTTrack/SFL_World_Clone/sfl.world/css/app2de9.css	(from https://sfl.world/)
12:15:02	80721/80721	---MCZ	200	added ('OK')	application/javascript	etag:W/%2213b51-18f374634b8%22	https://sfl.world/js/bootstrap.bundle.min.js	C:/Users/jovyl/fore/tests/WinHTTrack/SFL_World_Clone/sfl.world/js/bootstrap.bundle.min.js	(from https://sfl.world/)
12:15:03	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2028%20Mar%202025%2004:15:02%20GMT	http://sfl.world/js/js.cookie.min.js	C:/Users/jovyl/fore/tests/WinHTTrack/SFL_World_Clone/sfl.world/js/js.cookie.min.js	(from https://sfl.world/)
12:15:03	1731/1731	---MCZ	200	added ('OK')	application/javascript	etag:W/%226c3-18f374686c0%22	https://sfl.world/js/js.cookie.min.js	C:/Users/jovyl/fore/tests/WinHTTrack/SFL_World_Clone/sfl.world/js/js.cookie.min.js	(from https://sfl.world/)
12:15:03	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2028%20Mar%202025%2004:15:03%20GMT	http://sfl.world/js/jquery.sparkline.min.js	C:/Users/jovyl/fore/tests/WinHTTrack/SFL_World_Clone/sfl.world/js/jquery.sparkline.min.js	(from https://sfl.world/)
12:15:03	87533/87533	U-----	200	untouched ('')	text/javascript	date:Tue,%2012%20Sep%202023%2002:38:22%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.7.1/jquery.min.js	C:/Users/jovyl/fore/tests/WinHTTrack/SFL_World_Clone/ajax.googleapis.com/ajax/libs/jquery/3.7.1/jquery.min.js	(from https://sfl.world/)
12:15:04	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2028%20Mar%202025%2004:15:04%20GMT	http://sfl.world/js/kit.fontawesome.com_4d903c36a7.js	C:/Users/jovyl/fore/tests/WinHTTrack/SFL_World_Clone/sfl.world/js/kit.fontawesome.com_4d903c36a7.js	(from https://sfl.world/)
12:15:04	62673/62673	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f4d1-18f3746dcb0%22	https://sfl.world/js/jquery.sparkline.min.js	C:/Users/jovyl/fore/tests/WinHTTrack/SFL_World_Clone/sfl.world/js/jquery.sparkline.min.js	(from https://sfl.world/)
12:15:04	11642/11642	---MCZ	200	added ('OK')	application/javascript	etag:W/%222d7a-18ae07297e8%22	https://sfl.world/js/kit.fontawesome.com_4d903c36a7.js	C:/Users/jovyl/fore/tests/WinHTTrack/SFL_World_Clone/sfl.world/js/kit.fontawesome.com_4d903c36a7.js	(from https://sfl.world/)
12:15:04	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2028%20Mar%202025%2004:15:04%20GMT	http://sfl.world/tablesorter-master/dist/js/jquery.tablesorter.min.js	C:/Users/jovyl/fore/tests/WinHTTrack/SFL_World_Clone/sfl.world/tablesorter-master/dist/js/jquery.tablesorter.min.js	(from https://sfl.world/)
12:15:04	44365/44365	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ad4d-1886d1a6f48%22	https://sfl.world/tablesorter-master/dist/js/jquery.tablesorter.min.js	C:/Users/jovyl/fore/tests/WinHTTrack/SFL_World_Clone/sfl.world/tablesorter-master/dist/js/jquery.tablesorter.min.js	(from https://sfl.world/)
12:15:05	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2028%20Mar%202025%2004:15:04%20GMT	http://sfl.world/js/main.js?1743105668308	C:/Users/jovyl/fore/tests/WinHTTrack/SFL_World_Clone/sfl.world/js/main2de9.js	(from https://sfl.world/)
12:15:05	2458/2458	---MCZ	200	added ('OK')	application/javascript	etag:W/%2299a-19324dc7928%22	https://sfl.world/js/main.js?1743105668308	C:/Users/jovyl/fore/tests/WinHTTrack/SFL_World_Clone/sfl.world/js/main2de9.js	(from https://sfl.world/)
12:15:05	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2028%20Mar%202025%2004:15:05%20GMT	http://sfl.world/util/p2p-calc	C:/Users/jovyl/fore/tests/WinHTTrack/SFL_World_Clone/sfl.world/util/p2p-calc	(from https://sfl.world/)
12:15:06	47844/47844	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Mar%202025%2004:15:05%20GMT	https://sfl.world/util/p2p-calc	C:/Users/jovyl/fore/tests/WinHTTrack/SFL_World_Clone/sfl.world/util/p2p-calc.html	(from https://sfl.world/)
12:15:06	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2028%20Mar%202025%2004:15:06%20GMT	http://sfl.world/util/prices	C:/Users/jovyl/fore/tests/WinHTTrack/SFL_World_Clone/sfl.world/util/prices	(from https://sfl.world/)
12:15:06	79101/79101	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Mar%202025%2004:15:06%20GMT	https://sfl.world/util/prices	C:/Users/jovyl/fore/tests/WinHTTrack/SFL_World_Clone/sfl.world/util/prices.html	(from https://sfl.world/)
